symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
SOL/USDT,long,pullback_long,2022-06-22 01:30:00+00:00,2022-06-22 03:30:00+00:00,36.37,34.55812721,46283.11,-2305.722,-1.0,sl,4
SOL/USDT,long,pullback_long,2022-06-25 13:30:00+00:00,2022-06-25 23:00:00+00:00,40.81,42.59552022,45476.11,1989.672,1.2,tp,19
SOL/USDT,long,pullback_long,2022-06-26 11:00:00+00:00,2022-06-26 12:00:00+00:00,40.99,42.43879045,46172.49,1631.9654,1.2,tp,2
SOL/USDT,long,pullback_long,2022-06-26 13:30:00+00:00,2022-06-26 18:00:00+00:00,41.14,39.73550421,46743.68,-1595.8022,-1.0,sl,9
BTC/USDT,short,swing_low_continuation,2022-06-28 01:30:00+00:00,2022-06-28 08:30:00+00:00,20662.22,21108.72434998,46185.15,-998.0472,-1.0,sl,14
SOL/USDT,short,swing_low_continuation,2022-06-29 05:30:00+00:00,2022-06-29 17:00:00+00:00,35.44,33.60852955,45835.83,2368.7068,1.1505,tp,23
BTC/USDT,short,swing_low_continuation,2022-06-28 19:30:00+00:00,2022-06-30 06:00:00+00:00,20302.94,19849.67049669,45835.83,1023.2993,0.9881,tp,69
SOL/USDT,short,swing_low_continuation,2022-06-30 00:30:00+00:00,2022-06-30 06:30:00+00:00,33.81,31.85576077,46664.88,2697.2594,1.2308,tp,12
ETH/USDT,short,swing_low_continuation,2022-06-30 00:30:00+00:00,2022-06-30 06:30:00+00:00,1098.1,1059.00060904,46664.88,1661.5685,1.0839,tp,12
ETH/USDT,short,swing_low_continuation,2022-06-30 07:00:00+00:00,2022-06-30 09:00:00+00:00,1060.72,1026.68588962,48548.62,1557.7241,0.8073,tp,4
BTC/USDT,short,swing_low_continuation,2022-06-30 09:30:00+00:00,2022-06-30 20:30:00+00:00,18962.87,18729.14293827,49093.83,605.1065,0.3235,tp,22
SOL/USDT,short,swing_low_continuation,2022-06-30 07:00:00+00:00,2022-06-30 23:30:00+00:00,31.85,33.73826986,48548.62,-2878.2699,-1.0,sl,33
ETH/USDT,short,swing_low_continuation,2022-06-30 09:30:00+00:00,2022-06-30 23:30:00+00:00,1018.48,1073.22640967,49093.83,-2638.9433,-1.0,sl,28
ETH/USDT,long,pullback_long,2022-07-06 06:00:00+00:00,2022-07-06 22:00:00+00:00,1131.86,1177.54947009,47374.59,1912.3566,1.2,tp,32
SOL/USDT,long,pullback_long,2022-07-06 12:30:00+00:00,2022-07-06 23:00:00+00:00,35.71,37.33526683,47374.59,2156.1565,1.2,tp,21
BTC/USDT,long,pullback_long,2022-07-08 13:30:00+00:00,2022-07-08 15:00:00+00:00,21381.49,21960.53732343,48798.57,1321.5487,1.2,tp,3
SOL/USDT,long,pullback_long,2022-07-09 20:00:00+00:00,2022-07-10 00:30:00+00:00,38.41,37.60168483,49261.11,-1036.6702,-1.0,sl,9
