symbol,model,direction,entry_ts,exit_ts,entry_price,exit_price,pnl
BTC/USDT,slc,short,2022-07-23 14:30:00+00:00,2022-07-24 05:30:00+00:00,22239.73,22743.915769811745,-1077.5933467078173
ETH/USDT,slc,short,2022-07-26 07:30:00+00:00,2022-07-26 19:00:00+00:00,1423.15,1359.473034850008,2086.0804127701904
ETH/USDT,slc,short,2022-07-26 19:30:00+00:00,2022-07-26 23:30:00+00:00,1362.05,1423.7939545493252,-2146.5906254830024
SOL/USDT,slc,short,2022-07-26 02:30:00+00:00,2022-07-27 18:00:00+00:00,36.32,37.871808725121355,-1992.0109218236357
BTC/USDT,pbl,long,2022-07-29 14:00:00+00:00,2022-07-30 12:30:00+00:00,23695.41,24298.007046671875,1167.3962191328371
SOL/USDT,pbl,long,2022-07-29 14:00:00+00:00,2022-07-30 13:30:00+00:00,42.26,44.18699964021499,2093.1851841068615
ETH/USDT,pbl,long,2022-07-31 15:30:00+00:00,2022-07-31 18:00:00+00:00,1708.51,1747.6714900051707,1078.355339676937
SOL/USDT,pbl,long,2022-07-31 15:30:00+00:00,2022-07-31 22:00:00+00:00,43.96,42.711442028125354,-1336.1992973918068
SOL/USDT,slc,short,2022-08-01 19:30:00+00:00,2022-08-02 23:30:00+00:00,40.91,39.669418717867444,1423.9084621495276
BTC/USDT,slc,short,2022-08-01 18:30:00+00:00,2022-08-03 12:00:00+00:00,22904.22,23507.29900232435,-1236.3602321664773
BTC/USDT,pbl,long,2022-08-06 18:30:00+00:00,2022-08-06 23:30:00+00:00,23138.04,22934.078573840092,-414.4904235574413
ETH/USDT,pbl,long,2022-08-06 18:30:00+00:00,2022-08-07 00:30:00+00:00,1708.63,1681.1719179267152,-755.6404533626779
BTC/USDT,pbl,long,2022-08-08 23:00:00+00:00,2022-08-09 09:30:00+00:00,23813.39,23495.500709555065,-622.2264986540079
SOL/USDT,pbl,long,2022-08-09 00:00:00+00:00,2022-08-09 10:30:00+00:00,42.17,41.206375598765966,-1065.1187203736738
BTC/USDT,slc,short,2022-08-09 17:30:00+00:00,2022-08-10 00:30:00+00:00,23120.13,22707.81623830229,820.7175155724424
ETH/USDT,slc,short,2022-08-09 15:30:00+00:00,2022-08-10 12:30:00+00:00,1691.3,1736.3401890989535,-1225.563165812065
BTC/USDT,slc,short,2022-08-10 01:00:00+00:00,2022-08-10 12:30:00+00:00,22771.87,23209.83074418597,-890.6251618205157
SOL/USDT,slc,short,2022-08-10 01:00:00+00:00,2022-08-10 12:30:00+00:00,39.59,40.93755444922503,-1576.228921582837
SOL/USDT,pbl,long,2022-08-11 21:30:00+00:00,2022-08-12 11:30:00+00:00,43.32,42.18580449071743,-1178.5976103043351
ETH/USDT,pbl,long,2022-08-12 14:00:00+00:00,2022-08-12 19:00:00+00:00,1883.71,1926.1214230857922,1004.2383965575365
BTC/USDT,pbl,long,2022-08-13 12:00:00+00:00,2022-08-14 07:00:00+00:00,24435.91,24860.152603388764,780.4816436543451
ETH/USDT,pbl,long,2022-08-14 13:00:00+00:00,2022-08-14 16:30:00+00:00,1985.94,1956.8672923223107,-662.1056530373061
BTC/USDT,pbl,long,2022-08-14 13:00:00+00:00,2022-08-14 17:00:00+00:00,24527.48,24226.646507880843,-554.7294113482681
BTC/USDT,slc,short,2022-08-16 14:30:00+00:00,2022-08-17 06:00:00+00:00,23837.53,24193.98293201222,-669.9462247219249
SOL/USDT,slc,short,2022-08-15 22:30:00+00:00,2022-08-17 12:00:00+00:00,43.98,41.91579251233335,2102.7959380828725
SOL/USDT,slc,short,2022-08-17 19:30:00+00:00,2022-08-18 23:00:00+00:00,40.85,39.48506496487907,1513.746796177768
BTC/USDT,slc,short,2022-08-19 07:30:00+00:00,2022-08-19 11:00:00+00:00,21952.95,21431.276434326624,1089.152570412938
ETH/USDT,slc,short,2022-08-19 07:30:00+00:00,2022-08-19 11:30:00+00:00,1739.8,1696.5413752992429,1139.609759612814
BTC/USDT,slc,short,2022-08-19 11:30:00+00:00,2022-08-19 21:30:00+00:00,21436.15,20986.24194660565,969.966885079701
ETH/USDT,slc,short,2022-08-19 12:00:00+00:00,2022-08-19 21:30:00+00:00,1707.72,1658.4006078176196,1346.2110363909976
